FECHA,2019,2020,2021
2019-01-01,329.0,,
2019-01-02,305.0,,
2019-01-03,314.0,,
2019-01-04,290.0,,
2019-01-05,303.0,,
2019-01-06,314.0,,
2019-01-07,309.0,,
2019-01-08,307.0,,
2019-01-09,281.0,,
2019-01-10,292.0,,
2019-01-11,276.0,,
2019-01-12,269.0,,
2019-01-13,291.0,,
2019-01-14,281.0,,
2019-01-15,297.0,,
2019-01-16,305.0,,
2019-01-17,257.0,,
2019-01-18,281.0,,
2019-01-19,331.0,,
2019-01-20,288.0,,
2019-01-21,248.0,,
2019-01-22,314.0,,
2019-01-23,271.0,,
2019-01-24,284.0,,
2019-01-25,316.0,,
2019-01-26,288.0,,
2019-01-27,319.0,,
2019-01-28,321.0,,
2019-01-29,316.0,,
2019-01-30,322.0,,
2019-01-31,298.0,,
2019-02-01,333.0,,
2019-02-02,339.0,,
2019-02-03,325.0,,
2019-02-04,329.0,,
2019-02-05,350.0,,
2019-02-06,307.0,,
2019-02-07,294.0,,
2019-02-08,320.0,,
2019-02-09,304.0,,
2019-02-10,299.0,,
2019-02-11,331.0,,
2019-02-12,292.0,,
2019-02-13,297.0,,
2019-02-14,326.0,,
2019-02-15,295.0,,
2019-02-16,306.0,,
2019-02-17,316.0,,
2019-02-18,334.0,,
2019-02-19,319.0,,
2019-02-20,313.0,,
2019-02-21,321.0,,
2019-02-22,330.0,,
2019-02-23,321.0,,
2019-02-24,269.0,,
2019-02-25,331.0,,
2019-02-26,307.0,,
2019-02-27,315.0,,
2019-02-28,298.0,,
2019-03-01,322.0,,
2019-03-02,339.0,,
2019-03-03,340.0,,
2019-03-04,323.0,,
2019-03-05,360.0,,
2019-03-06,318.0,,
2019-03-07,303.0,,
2019-03-08,308.0,,
2019-03-09,301.0,,
2019-03-10,293.0,,
2019-03-11,293.0,,
2019-03-12,288.0,,
2019-03-13,313.0,,
2019-03-14,316.0,,
2019-03-15,303.0,,
2019-03-16,289.0,,
2019-03-17,347.0,,
2019-03-18,295.0,,
2019-03-19,267.0,,
2019-03-20,299.0,,
2019-03-21,286.0,,
2019-03-22,265.0,,
2019-03-23,293.0,,
2019-03-24,300.0,,
2019-03-25,293.0,,
2019-03-26,263.0,,
2019-03-27,304.0,,
2019-03-28,277.0,,
2019-03-29,300.0,,
2019-03-30,283.0,,
2019-03-31,297.0,,
2019-04-01,288.0,,
2019-04-02,271.0,,
2019-04-03,290.0,,
2019-04-04,251.0,,
2019-04-05,294.0,,
2019-04-06,285.0,,
2019-04-07,271.0,,
2019-04-08,301.0,,
2019-04-09,279.0,,
2019-04-10,264.0,,
2019-04-11,288.0,,
2019-04-12,293.0,,
2019-04-13,286.0,,
2019-04-14,289.0,,
2019-04-15,292.0,,
2019-04-16,286.0,,
2019-04-17,292.0,,
2019-04-18,272.0,,
2019-04-19,299.0,,
2019-04-20,284.0,,
2019-04-21,327.0,,
2019-04-22,277.0,,
2019-04-23,283.0,,
2019-04-24,267.0,,
2019-04-25,282.0,,
2019-04-26,290.0,,
2019-04-27,296.0,,
2019-04-28,251.0,,
2019-04-29,264.0,,
2019-04-30,294.0,,
2019-05-01,291.0,,
2019-05-02,260.0,,
2019-05-03,286.0,,
2019-05-04,282.0,,
2019-05-05,282.0,,
2019-05-06,246.0,,
2019-05-07,261.0,,
2019-05-08,281.0,,
2019-05-09,262.0,,
2019-05-10,280.0,,
2019-05-11,267.0,,
2019-05-12,281.0,,
2019-05-13,291.0,,
2019-05-14,275.0,,
2019-05-15,262.0,,
2019-05-16,266.0,,
2019-05-17,281.0,,
2019-05-18,276.0,,
2019-05-19,271.0,,
2019-05-20,262.0,,
2019-05-21,271.0,,
2019-05-22,253.0,,
2019-05-23,299.0,,
2019-05-24,288.0,,
2019-05-25,244.0,,
2019-05-26,287.0,,
2019-05-27,282.0,,
2019-05-28,324.0,,
2019-05-29,274.0,,
2019-05-30,283.0,,
2019-05-31,248.0,,
2019-06-01,298.0,,
2019-06-02,278.0,,
2019-06-03,282.0,,
2019-06-04,278.0,,
2019-06-05,281.0,,
2019-06-06,319.0,,
2019-06-07,293.0,,
2019-06-08,274.0,,
2019-06-09,290.0,,
2019-06-10,303.0,,
2019-06-11,284.0,,
2019-06-12,292.0,,
2019-06-13,295.0,,
2019-06-14,294.0,,
2019-06-15,284.0,,
2019-06-16,312.0,,
2019-06-17,349.0,,
2019-06-18,304.0,,
2019-06-19,318.0,,
2019-06-20,297.0,,
2019-06-21,288.0,,
2019-06-22,303.0,,
2019-06-23,302.0,,
2019-06-24,295.0,,
2019-06-25,268.0,,
2019-06-26,324.0,,
2019-06-27,319.0,,
2019-06-28,309.0,,
2019-06-29,269.0,,
2019-06-30,297.0,,
2019-07-01,312.0,,
2019-07-02,293.0,,
2019-07-03,304.0,,
2019-07-04,304.0,,
2019-07-05,315.0,,
2019-07-06,317.0,,
2019-07-07,285.0,,
2019-07-08,285.0,,
2019-07-09,301.0,,
2019-07-10,317.0,,
2019-07-11,304.0,,
2019-07-12,292.0,,
2019-07-13,319.0,,
2019-07-14,273.0,,
2019-07-15,316.0,,
2019-07-16,295.0,,
2019-07-17,318.0,,
2019-07-18,330.0,,
2019-07-19,303.0,,
2019-07-20,308.0,,
2019-07-21,308.0,,
2019-07-22,309.0,,
2019-07-23,290.0,,
2019-07-24,314.0,,
2019-07-25,289.0,,
2019-07-26,285.0,,
2019-07-27,346.0,,
2019-07-28,333.0,,
2019-07-29,321.0,,
2019-07-30,316.0,,
2019-07-31,295.0,,
2019-08-01,283.0,,
2019-08-02,333.0,,
2019-08-03,318.0,,
2019-08-04,275.0,,
2019-08-05,347.0,,
2019-08-06,321.0,,
2019-08-07,294.0,,
2019-08-08,326.0,,
2019-08-09,323.0,,
2019-08-10,333.0,,
2019-08-11,317.0,,
2019-08-12,310.0,,
2019-08-13,322.0,,
2019-08-14,295.0,,
2019-08-15,328.0,,
2019-08-16,268.0,,
2019-08-17,284.0,,
2019-08-18,334.0,,
2019-08-19,322.0,,
2019-08-20,351.0,,
2019-08-21,308.0,,
2019-08-22,295.0,,
2019-08-23,271.0,,
2019-08-24,247.0,,
2019-08-25,304.0,,
2019-08-26,284.0,,
2019-08-27,291.0,,
2019-08-28,333.0,,
2019-08-29,321.0,,
2019-08-30,309.0,,
2019-08-31,357.0,,
2019-09-01,318.0,,
2019-09-02,328.0,,
2019-09-03,290.0,,
2019-09-04,278.0,,
2019-09-05,311.0,,
2019-09-06,289.0,,
2019-09-07,293.0,,
2019-09-08,319.0,,
2019-09-09,307.0,,
2019-09-10,298.0,,
2019-09-11,278.0,,
2019-09-12,323.0,,
2019-09-13,301.0,,
2019-09-14,331.0,,
2019-09-15,318.0,,
2019-09-16,337.0,,
2019-09-17,334.0,,
2019-09-18,321.0,,
2019-09-19,327.0,,
2019-09-20,322.0,,
2019-09-21,288.0,,
2019-09-22,341.0,,
2019-09-23,311.0,,
2019-09-24,313.0,,
2019-09-25,303.0,,
2019-09-26,307.0,,
2019-09-27,292.0,,
2019-09-28,309.0,,
2019-09-29,318.0,,
2019-09-30,330.0,,
2019-10-01,307.0,,
2019-10-02,294.0,,
2019-10-03,313.0,,
2019-10-04,316.0,,
2019-10-05,297.0,,
2019-10-06,298.0,,
2019-10-07,301.0,,
2019-10-08,318.0,,
2019-10-09,286.0,,
2019-10-10,316.0,,
2019-10-11,279.0,,
2019-10-12,317.0,,
2019-10-13,315.0,,
2019-10-14,330.0,,
2019-10-15,332.0,,
2019-10-16,287.0,,
2019-10-17,347.0,,
2019-10-18,323.0,,
2019-10-19,312.0,,
2019-10-20,322.0,,
2019-10-21,311.0,,
2019-10-22,284.0,,
2019-10-23,290.0,,
2019-10-24,296.0,,
2019-10-25,313.0,,
2019-10-26,292.0,,
2019-10-27,339.0,,
2019-10-28,323.0,,
2019-10-29,326.0,,
2019-10-30,307.0,,
2019-10-31,299.0,,
2019-11-01,324.0,,
2019-11-02,345.0,,
2019-11-03,323.0,,
2019-11-04,294.0,,
2019-11-05,324.0,,
2019-11-06,291.0,,
2019-11-07,313.0,,
2019-11-08,316.0,,
2019-11-09,294.0,,
2019-11-10,332.0,,
2019-11-11,339.0,,
2019-11-12,297.0,,
2019-11-13,302.0,,
2019-11-14,316.0,,
2019-11-15,305.0,,
2019-11-16,279.0,,
2019-11-17,293.0,,
2019-11-18,288.0,,
2019-11-19,314.0,,
2019-11-20,347.0,,
2019-11-21,272.0,,
2019-11-22,320.0,,
2019-11-23,266.0,,
2019-11-24,303.0,,
2019-11-25,281.0,,
2019-11-26,281.0,,
2019-11-27,318.0,,
2019-11-28,304.0,,
2019-11-29,305.0,,
2019-11-30,305.0,,
2019-12-01,315.0,,
2019-12-02,311.0,,
2019-12-03,312.0,,
2019-12-04,296.0,,
2019-12-05,317.0,,
2019-12-06,304.0,,
2019-12-07,306.0,,
2019-12-08,309.0,,
2019-12-09,296.0,,
2019-12-10,292.0,,
2019-12-11,290.0,,
2019-12-12,302.0,,
2019-12-13,284.0,,
2019-12-14,326.0,,
2019-12-15,326.0,,
2019-12-16,326.0,,
2019-12-17,280.0,,
2019-12-18,289.0,,
2019-12-19,310.0,,
2019-12-20,295.0,,
2019-12-21,297.0,,
2019-12-22,277.0,,
2019-12-23,297.0,,
2019-12-24,326.0,,
2019-12-25,323.0,,
2019-12-26,332.0,,
2019-12-27,312.0,,
2019-12-28,330.0,,
2019-12-29,313.0,,
2019-12-30,328.0,,
2019-12-31,329.0,,
2020-01-01,,365.0,
2020-01-02,,316.0,
2020-01-03,,303.0,
2020-01-04,,320.0,
2020-01-05,,347.0,
2020-01-06,,357.0,
2020-01-07,,309.0,
2020-01-08,,334.0,
2020-01-09,,356.0,
2020-01-10,,299.0,
2020-01-11,,339.0,
2020-01-12,,334.0,
2020-01-13,,304.0,
2020-01-14,,340.0,
2020-01-15,,327.0,
2020-01-16,,334.0,
2020-01-17,,324.0,
2020-01-18,,302.0,
2020-01-19,,299.0,
2020-01-20,,342.0,
2020-01-21,,302.0,
2020-01-22,,331.0,
2020-01-23,,322.0,
2020-01-24,,331.0,
2020-01-25,,335.0,
2020-01-26,,309.0,
2020-01-27,,315.0,
2020-01-28,,314.0,
2020-01-29,,293.0,
2020-01-30,,271.0,
2020-01-31,,312.0,
2020-02-01,,319.0,
2020-02-02,,331.0,
2020-02-03,,321.0,
2020-02-04,,314.0,
2020-02-05,,318.0,
2020-02-06,,340.0,
2020-02-07,,315.0,
2020-02-08,,297.0,
2020-02-09,,318.0,
2020-02-10,,299.0,
2020-02-11,,315.0,
2020-02-12,,296.0,
2020-02-13,,330.0,
2020-02-14,,338.0,
2020-02-15,,370.0,
2020-02-16,,301.0,
2020-02-17,,313.0,
2020-02-18,,309.0,
2020-02-19,,311.0,
2020-02-20,,329.0,
2020-02-21,,324.0,
2020-02-22,,340.0,
2020-02-23,,332.0,
2020-02-24,,384.0,
2020-02-25,,311.0,
2020-02-26,,318.0,
2020-02-27,,320.0,
2020-02-28,,324.0,
2020-02-29,,339.0,
2020-03-01,,336.0,
2020-03-02,,316.0,
2020-03-03,,347.0,
2020-03-04,,332.0,
2020-03-05,,329.0,
2020-03-06,,345.0,
2020-03-07,,330.0,
2020-03-08,,320.0,
2020-03-09,,309.0,
2020-03-10,,348.0,
2020-03-11,,338.0,
2020-03-12,,358.0,
2020-03-13,,337.0,
2020-03-14,,368.0,
2020-03-15,,333.0,
2020-03-16,,324.0,
2020-03-17,,293.0,
2020-03-18,,323.0,
2020-03-19,,322.0,
2020-03-20,,336.0,
2020-03-21,,272.0,
2020-03-22,,253.0,
2020-03-23,,290.0,
2020-03-24,,292.0,
2020-03-25,,302.0,
2020-03-26,,275.0,
2020-03-27,,297.0,
2020-03-28,,322.0,
2020-03-29,,314.0,
2020-03-30,,340.0,
2020-03-31,,338.0,
2020-04-01,,318.0,
2020-04-02,,329.0,
2020-04-03,,328.0,
2020-04-04,,342.0,
2020-04-05,,332.0,
2020-04-06,,325.0,
2020-04-07,,306.0,
2020-04-08,,350.0,
2020-04-09,,342.0,
2020-04-10,,402.0,
2020-04-11,,379.0,
2020-04-12,,360.0,
2020-04-13,,396.0,
2020-04-14,,435.0,
2020-04-15,,422.0,
2020-04-16,,435.0,
2020-04-17,,442.0,
2020-04-18,,429.0,
2020-04-19,,475.0,
2020-04-20,,520.0,
2020-04-21,,488.0,
2020-04-22,,519.0,
2020-04-23,,532.0,
2020-04-24,,609.0,
2020-04-25,,580.0,
2020-04-26,,560.0,
2020-04-27,,599.0,
2020-04-28,,607.0,
2020-04-29,,606.0,
2020-04-30,,721.0,
2020-05-01,,685.0,
2020-05-02,,719.0,
2020-05-03,,757.0,
2020-05-04,,720.0,
2020-05-05,,748.0,
2020-05-06,,738.0,
2020-05-07,,757.0,
2020-05-08,,755.0,
2020-05-09,,838.0,
2020-05-10,,824.0,
2020-05-11,,814.0,
2020-05-12,,778.0,
2020-05-13,,837.0,
2020-05-14,,860.0,
2020-05-15,,844.0,
2020-05-16,,853.0,
2020-05-17,,905.0,
2020-05-18,,972.0,
2020-05-19,,861.0,
2020-05-20,,882.0,
2020-05-21,,858.0,
2020-05-22,,853.0,
2020-05-23,,920.0,
2020-05-24,,938.0,
2020-05-25,,941.0,
2020-05-26,,873.0,
2020-05-27,,958.0,
2020-05-28,,903.0,
2020-05-29,,982.0,
2020-05-30,,914.0,
2020-05-31,,921.0,
2020-06-01,,1011.0,
2020-06-02,,904.0,
2020-06-03,,889.0,
2020-06-04,,941.0,
2020-06-05,,936.0,
2020-06-06,,992.0,
2020-06-07,,897.0,
2020-06-08,,986.0,
2020-06-09,,917.0,
2020-06-10,,950.0,
2020-06-11,,921.0,
2020-06-12,,974.0,
2020-06-13,,966.0,
2020-06-14,,941.0,
2020-06-15,,957.0,
2020-06-16,,960.0,
2020-06-17,,970.0,
2020-06-18,,883.0,
2020-06-19,,969.0,
2020-06-20,,885.0,
2020-06-21,,880.0,
2020-06-22,,872.0,
2020-06-23,,863.0,
2020-06-24,,864.0,
2020-06-25,,870.0,
2020-06-26,,852.0,
2020-06-27,,889.0,
2020-06-28,,876.0,
2020-06-29,,856.0,
2020-06-30,,894.0,
2020-07-01,,868.0,
2020-07-02,,867.0,
2020-07-03,,883.0,
2020-07-04,,843.0,
2020-07-05,,951.0,
2020-07-06,,888.0,
2020-07-07,,917.0,
2020-07-08,,919.0,
2020-07-09,,875.0,
2020-07-10,,896.0,
2020-07-11,,949.0,
2020-07-12,,973.0,
2020-07-13,,945.0,
2020-07-14,,963.0,
2020-07-15,,986.0,
2020-07-16,,940.0,
2020-07-17,,945.0,
2020-07-18,,974.0,
2020-07-19,,943.0,
2020-07-20,,973.0,
2020-07-21,,940.0,
2020-07-22,,998.0,
2020-07-23,,980.0,
2020-07-24,,920.0,
2020-07-25,,957.0,
2020-07-26,,942.0,
2020-07-27,,990.0,
2020-07-28,,997.0,
2020-07-29,,949.0,
2020-07-30,,964.0,
2020-07-31,,974.0,
2020-08-01,,1025.0,
2020-08-02,,945.0,
2020-08-03,,1054.0,
2020-08-04,,1030.0,
2020-08-05,,964.0,
2020-08-06,,995.0,
2020-08-07,,1010.0,
2020-08-08,,996.0,
2020-08-09,,986.0,
2020-08-10,,967.0,
2020-08-11,,898.0,
2020-08-12,,974.0,
2020-08-13,,1013.0,
2020-08-14,,1015.0,
2020-08-15,,884.0,
2020-08-16,,904.0,
2020-08-17,,953.0,
2020-08-18,,889.0,
2020-08-19,,832.0,
2020-08-20,,817.0,
2020-08-21,,875.0,
2020-08-22,,810.0,
2020-08-23,,876.0,
2020-08-24,,857.0,
2020-08-25,,833.0,
2020-08-26,,795.0,
2020-08-27,,799.0,
2020-08-28,,775.0,
2020-08-29,,720.0,
2020-08-30,,711.0,
2020-08-31,,683.0,
2020-09-01,,688.0,
2020-09-02,,715.0,
2020-09-03,,650.0,
2020-09-04,,662.0,
2020-09-05,,633.0,
2020-09-06,,607.0,
2020-09-07,,644.0,
2020-09-08,,604.0,
2020-09-09,,604.0,
2020-09-10,,596.0,
2020-09-11,,598.0,
2020-09-12,,590.0,
2020-09-13,,561.0,
2020-09-14,,579.0,
2020-09-15,,566.0,
2020-09-16,,548.0,
2020-09-17,,567.0,
2020-09-18,,506.0,
2020-09-19,,535.0,
2020-09-20,,522.0,
2020-09-21,,531.0,
2020-09-22,,487.0,
2020-09-23,,491.0,
2020-09-24,,472.0,
2020-09-25,,492.0,
2020-09-26,,497.0,
2020-09-27,,439.0,
2020-09-28,,496.0,
2020-09-29,,455.0,
2020-09-30,,436.0,
2020-10-01,,445.0,
2020-10-02,,430.0,
2020-10-03,,452.0,
2020-10-04,,447.0,
2020-10-05,,423.0,
2020-10-06,,473.0,
2020-10-07,,462.0,
2020-10-08,,444.0,
2020-10-09,,454.0,
2020-10-10,,423.0,
2020-10-11,,404.0,
2020-10-12,,461.0,
2020-10-13,,424.0,
2020-10-14,,388.0,
2020-10-15,,401.0,
2020-10-16,,445.0,
2020-10-17,,412.0,
2020-10-18,,389.0,
2020-10-19,,426.0,
2020-10-20,,417.0,
2020-10-21,,410.0,
2020-10-22,,390.0,
2020-10-23,,434.0,
2020-10-24,,412.0,
2020-10-25,,392.0,
2020-10-26,,403.0,
2020-10-27,,355.0,
2020-10-28,,367.0,
2020-10-29,,390.0,
2020-10-30,,398.0,
2020-10-31,,390.0,
2020-11-01,,418.0,
2020-11-02,,399.0,
2020-11-03,,433.0,
2020-11-04,,421.0,
2020-11-05,,376.0,
2020-11-06,,390.0,
2020-11-07,,361.0,
2020-11-08,,403.0,
2020-11-09,,371.0,
2020-11-10,,434.0,
2020-11-11,,368.0,
2020-11-12,,380.0,
2020-11-13,,432.0,
2020-11-14,,408.0,
2020-11-15,,372.0,
2020-11-16,,387.0,
2020-11-17,,412.0,
2020-11-18,,373.0,
2020-11-19,,358.0,
2020-11-20,,398.0,
2020-11-21,,382.0,
2020-11-22,,371.0,
2020-11-23,,383.0,
2020-11-24,,388.0,
2020-11-25,,364.0,
2020-11-26,,348.0,
2020-11-27,,351.0,
2020-11-28,,354.0,
2020-11-29,,381.0,
2020-11-30,,376.0,
2020-12-01,,409.0,
2020-12-02,,409.0,
2020-12-03,,400.0,
2020-12-04,,392.0,
2020-12-05,,385.0,
2020-12-06,,354.0,
2020-12-07,,438.0,
2020-12-08,,383.0,
2020-12-09,,409.0,
2020-12-10,,399.0,
2020-12-11,,401.0,
2020-12-12,,426.0,
2020-12-13,,428.0,
2020-12-14,,434.0,
2020-12-15,,403.0,
2020-12-16,,434.0,
2020-12-17,,427.0,
2020-12-18,,449.0,
2020-12-19,,465.0,
2020-12-20,,467.0,
2020-12-21,,435.0,
2020-12-22,,409.0,
2020-12-23,,436.0,
2020-12-24,,432.0,
2020-12-25,,488.0,
2020-12-26,,483.0,
2020-12-27,,476.0,
2020-12-28,,486.0,
2020-12-29,,432.0,
2020-12-30,,486.0,
2020-12-31,,470.0,
2021-01-01,,,509.0
2021-01-02,,,536.0
2021-01-03,,,512.0
2021-01-04,,,557.0
2021-01-05,,,521.0
2021-01-06,,,512.0
2021-01-07,,,554.0
2021-01-08,,,577.0
2021-01-09,,,574.0
2021-01-10,,,599.0
2021-01-11,,,626.0
2021-01-12,,,599.0
2021-01-13,,,641.0
2021-01-14,,,599.0
2021-01-15,,,640.0
2021-01-16,,,699.0
2021-01-17,,,733.0
2021-01-18,,,749.0
2021-01-19,,,773.0
2021-01-20,,,757.0
2021-01-21,,,811.0
2021-01-22,,,788.0
2021-01-23,,,874.0
2021-01-24,,,856.0
2021-01-25,,,982.0
2021-01-26,,,889.0
2021-01-27,,,915.0
2021-01-28,,,934.0
2021-01-29,,,933.0
2021-01-30,,,976.0
2021-01-31,,,992.0
2021-02-01,,,1030.0
2021-02-02,,,929.0
2021-02-03,,,924.0
2021-02-04,,,1031.0
2021-02-05,,,1012.0
2021-02-06,,,989.0
2021-02-07,,,1026.0
2021-02-08,,,1063.0
2021-02-09,,,1062.0
2021-02-10,,,1058.0
2021-02-11,,,1121.0
2021-02-12,,,1147.0
2021-02-13,,,1103.0
2021-02-14,,,1051.0
2021-02-15,,,1067.0
2021-02-16,,,1147.0
2021-02-17,,,1119.0
2021-02-18,,,1057.0
2021-02-19,,,1101.0
2021-02-20,,,1049.0
2021-02-21,,,1091.0
2021-02-22,,,1060.0
2021-02-23,,,1020.0
2021-02-24,,,1060.0
2021-02-25,,,1018.0
2021-02-26,,,1054.0
2021-02-27,,,1066.0
2021-02-28,,,1044.0
2021-03-01,,,1120.0
2021-03-02,,,1080.0
2021-03-03,,,1135.0
2021-03-04,,,1059.0
2021-03-05,,,1043.0
2021-03-06,,,1017.0
2021-03-07,,,967.0
2021-03-08,,,1082.0
2021-03-09,,,1073.0
2021-03-10,,,1000.0
2021-03-11,,,1009.0
2021-03-12,,,1033.0
2021-03-13,,,1043.0
2021-03-14,,,1053.0
2021-03-15,,,1089.0
2021-03-16,,,1046.0
2021-03-17,,,1050.0
2021-03-18,,,1067.0
2021-03-19,,,1024.0
2021-03-20,,,1022.0
2021-03-21,,,1031.0
2021-03-22,,,1045.0
2021-03-23,,,1044.0
2021-03-24,,,1061.0
2021-03-25,,,1052.0
2021-03-26,,,1051.0
2021-03-27,,,1127.0
2021-03-28,,,1108.0
2021-03-29,,,1080.0
2021-03-30,,,1124.0
2021-03-31,,,1084.0
2021-04-01,,,1128.0
2021-04-02,,,1089.0
2021-04-03,,,1125.0
2021-04-04,,,1172.0
2021-04-05,,,1232.0
2021-04-06,,,1196.0
2021-04-07,,,1167.0
2021-04-08,,,1187.0
2021-04-09,,,1262.0
2021-04-10,,,1170.0
2021-04-11,,,1171.0
2021-04-12,,,1239.0
2021-04-13,,,1211.0
2021-04-14,,,1155.0
2021-04-15,,,1160.0
2021-04-16,,,1235.0
2021-04-17,,,1160.0
2021-04-18,,,1184.0
2021-04-19,,,1220.0
2021-04-20,,,1190.0
2021-04-21,,,1154.0
2021-04-22,,,1194.0
2021-04-23,,,1160.0
2021-04-24,,,1139.0
2021-04-25,,,1101.0
2021-04-26,,,1093.0
2021-04-27,,,1081.0
2021-04-28,,,1138.0
2021-04-29,,,1142.0
2021-04-30,,,1037.0
2021-05-01,,,1072.0
2021-05-02,,,1058.0
2021-05-03,,,1077.0
2021-05-04,,,1027.0
2021-05-05,,,1076.0
2021-05-06,,,983.0
2021-05-07,,,1010.0
2021-05-08,,,919.0
2021-05-09,,,987.0
2021-05-10,,,941.0
2021-05-11,,,995.0
2021-05-12,,,921.0
2021-05-13,,,910.0
2021-05-14,,,880.0
2021-05-15,,,884.0
2021-05-16,,,926.0
2021-05-17,,,906.0
2021-05-18,,,875.0
2021-05-19,,,914.0
2021-05-20,,,817.0
2021-05-21,,,829.0
2021-05-22,,,795.0
2021-05-23,,,834.0
2021-05-24,,,825.0
2021-05-25,,,799.0
2021-05-26,,,804.0
2021-05-27,,,811.0
2021-05-28,,,780.0
2021-05-29,,,764.0
2021-05-30,,,760.0
2021-05-31,,,774.0
2021-06-01,,,812.0
2021-06-02,,,775.0
2021-06-03,,,726.0
2021-06-04,,,692.0
2021-06-05,,,724.0
2021-06-06,,,692.0
2021-06-07,,,692.0
2021-06-08,,,660.0
2021-06-09,,,688.0
2021-06-10,,,698.0
2021-06-11,,,666.0
2021-06-12,,,610.0
2021-06-13,,,629.0
2021-06-14,,,609.0
2021-06-15,,,632.0
2021-06-16,,,602.0
2021-06-17,,,568.0
2021-06-18,,,621.0
2021-06-19,,,602.0
2021-06-20,,,592.0
2021-06-21,,,601.0
2021-06-22,,,556.0
2021-06-23,,,527.0
2021-06-24,,,561.0
2021-06-25,,,572.0
2021-06-26,,,574.0
2021-06-27,,,537.0
2021-06-28,,,534.0
2021-06-29,,,545.0
2021-06-30,,,520.0
2021-07-01,,,570.0
2021-07-02,,,514.0
2021-07-03,,,528.0
2021-07-04,,,511.0
2021-07-05,,,512.0
2021-07-06,,,499.0
2021-07-07,,,491.0
2021-07-08,,,503.0
2021-07-09,,,532.0
2021-07-10,,,508.0
2021-07-11,,,480.0
2021-07-12,,,510.0
2021-07-13,,,487.0
2021-07-14,,,420.0
2021-07-15,,,469.0
2021-07-16,,,469.0
2021-07-17,,,445.0
2021-07-18,,,439.0
2021-07-19,,,457.0
2021-07-20,,,468.0
2021-07-21,,,447.0
2021-07-22,,,431.0
2021-07-23,,,456.0
2021-07-24,,,454.0
2021-07-25,,,435.0
2021-07-26,,,464.0
2021-07-27,,,451.0
2021-07-28,,,436.0
2021-07-29,,,404.0
2021-07-30,,,439.0
2021-07-31,,,459.0
2021-08-01,,,420.0
2021-08-02,,,485.0
2021-08-03,,,408.0
2021-08-04,,,393.0
2021-08-05,,,421.0
2021-08-06,,,410.0
2021-08-07,,,432.0
2021-08-08,,,431.0
2021-08-09,,,412.0
2021-08-10,,,461.0
2021-08-11,,,419.0
2021-08-12,,,433.0
2021-08-13,,,464.0
2021-08-14,,,404.0
2021-08-15,,,417.0
2021-08-16,,,425.0
2021-08-17,,,396.0
2021-08-18,,,397.0
2021-08-19,,,379.0
2021-08-20,,,400.0
2021-08-21,,,436.0
2021-08-22,,,422.0
2021-08-23,,,424.0
2021-08-24,,,412.0
2021-08-25,,,451.0
2021-08-26,,,398.0
2021-08-27,,,425.0
2021-08-28,,,443.0
2021-08-29,,,452.0
2021-08-30,,,415.0
2021-08-31,,,435.0
2021-09-01,,,422.0
2021-09-02,,,388.0
2021-09-03,,,383.0
2021-09-04,,,431.0
2021-09-05,,,411.0
2021-09-06,,,384.0
2021-09-07,,,368.0
2021-09-08,,,414.0
2021-09-09,,,407.0
2021-09-10,,,384.0
2021-09-11,,,392.0
2021-09-12,,,426.0
2021-09-13,,,417.0
2021-09-14,,,408.0
2021-09-15,,,376.0
2021-09-16,,,385.0
2021-09-17,,,376.0
2021-09-18,,,410.0
2021-09-19,,,413.0
2021-09-20,,,428.0
2021-09-21,,,404.0
2021-09-22,,,399.0
2021-09-23,,,394.0
2021-09-24,,,430.0
2021-09-25,,,387.0
2021-09-26,,,404.0
2021-09-27,,,423.0
2021-09-28,,,418.0
2021-09-29,,,395.0
2021-09-30,,,342.0
2021-10-01,,,393.0
2021-10-02,,,380.0
2021-10-03,,,411.0
2021-10-04,,,414.0
2021-10-05,,,374.0
2021-10-06,,,405.0
2021-10-07,,,390.0
2021-10-08,,,396.0
2021-10-09,,,392.0
2021-10-10,,,433.0
2021-10-11,,,380.0
2021-10-12,,,380.0
2021-10-13,,,375.0
2021-10-14,,,397.0
2021-10-15,,,395.0
2021-10-16,,,410.0
2021-10-17,,,381.0
2021-10-18,,,408.0
2021-10-19,,,356.0
2021-10-20,,,370.0
2021-10-21,,,363.0
2021-10-22,,,366.0
2021-10-23,,,376.0
2021-10-24,,,389.0
2021-10-25,,,344.0
